시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,한화갤러리아,452260,35.55270273274689,41.54590663930973,22.90139211805951,3040,3161,2948,19
KOSPI,녹십자홀딩스,005250,31.045861506929285,43.70238110512842,25.25175589782618,15190,15797,14734,102
KOSPI,한국가스공사,036460,29.2732540478521,38.92730696349707,31.79943898865084,37800,39312,36666,87
KOSPI,한화손해보험,000370,30.759104407706907,41.70525381870059,27.53564475382474,7120,7404,6906,118
KOSPI,파라다이스,034230,31.40321784849113,40.60117596359048,27.995607678034506,14250,14820,13822,105
KOSPI,DN오토모티브,007340,47.0885531196665,35.72456722495277,17.18687742020656,44300,46072,42971,72
KOSPI,넷마블,251270,31.05452438511584,35.84256574873338,33.10290688591855,41900,43576,40643,88
KOSPI,애경케미칼,161000,33.936759706723166,42.688089685529775,23.37514911763094,14690,15277,14249,52
KOSPI,BGF리테일,282330,34.88220433311178,42.48088624618583,22.636910165760447,132500,137800,128525,105
KOSPI,SK바이오사이언스,302440,34.041990273944755,40.60725448284258,25.350752262980425,39800,41392,38606,175
KOSPI,풍산,103140,31.470079150694563,41.61204061595403,26.91788395864171,85500,88920,82935,59
KOSPI,SNT에너지,100840,38.542024157716135,36.61593162686402,24.842042725303727,43400,45136,42098,73
KOSPI,자화전자,033240,34.71630700233283,40.17214696846179,25.11154453908927,47000,48880,45590,58
KOSPI,삼영,003720,45.22397368863661,34.892192501203084,19.88383157498613,10250,10660,9942,53
KOSPI,수산세보틱스,017550,28.93004767641362,46.79237715109085,24.2775759175536,2750,2860,2667,51
KOSPI,DL,000210,44.243173649597146,33.244398281820345,22.51242955869863,57100,59384,55387,89
KOSPI,케이씨텍,281820,28.148319010213697,32.30243840369127,39.549241841036974,71100,73944,68967,73
KOSPI,강원랜드,035250,38.002736316323926,31.113650085494875,30.883613598181192,15390,16005,14928,75
KOSPI,삼성카드,029780,35.99684600245433,34.74139552134853,29.26175847619714,47900,49816,46463,109
KOSPI,경인양행,012610,36.26569100574155,38.12942310387235,25.604885890386093,5800,6032,5626,78
KOSPI,파미셀,005690,35.07888169465355,33.90946673670403,31.011654548874656,15780,16411,15306,40
KOSPI,화신,010690,38.490427222916544,35.427059040761,26.082512246206345,12200,12688,11834,79
KOSPI,영원무역,111770,32.172655433803044,39.156715817349415,28.670628748847545,84700,88088,82159,110
KOSPI,유안타증권,003470,26.072459450208306,33.115908058778146,40.811635471245786,5770,6000,5596,22
KOSPI,더블유게임즈,192080,34.48506025971535,38.60387944864006,26.911061781760726,65000,67600,63050,96
KOSPI,휴스틸,005010,48.44013740065392,31.937476836173662,19.622389488462723,5500,5720,5335,34
KOSPI,대한유화,006650,37.603088464543234,37.14752528544769,25.249388485183253,133900,139256,129883,80
KOSPI,넥스틸,092790,35.85873846674672,46.319483274918156,17.821778258335126,17450,18148,16926,27
KOSPI,F&F,383220,34.67089273779307,39.24415001002185,26.084957252185088,77400,80496,75078,83
KOSPI,한전KPS,051600,31.886939158282946,33.971468095766,34.14159274595106,54100,56264,52477,66
KOSPI,SK오션플랜트,100090,39.039834274924715,34.14401842297151,26.816148047161835,18350,19084,17799,50
KOSPI,코스모신소재,005070,38.92244065264751,31.57735694744508,29.500203890023535,50300,52312,48791,50
KOSPI,롯데지주,004990,24.099458615628045,27.969697012245508,47.93084288201033,27000,28080,26190,82
KOSPI,남선알미늄,008350,47.457988779814215,37.39147121713843,15.150540003047357,1631,1696,1582,33
KOSPI,디아이씨,092200,26.18298631966809,42.423512761819325,31.393500918512572,7380,7675,7158,91
KOSPI,코리안리,003690,33.69967323424486,42.8760968592067,23.424232886780683,14540,15121,14103,89
