이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
양자암호/양자컴퓨팅,-3.18,SK텔레콤,11.59,엑스게이트,-11.42
초전도체,-3.19,덕성,7.05,아센디오,-17.68
화학섬유,-3.21,대한화섬,0.09,코오롱인더,-6.36
통신장비,-3.22,에프알텍,7.09,센서뷰,-10.16
모더나(MODERNA),-3.23,소마젠,0.71,파미셀,-6.69
핵융합에너지,-3.25,에스에프에이,-0.75,두산에너빌리티,-6.45
리비안(RIVIAN),-3.27,남성,1.85,알멕,-9.05
전기차 화재 방지(배터리 열폭주 등),-3.27,이닉스,5.65,나노팀,-10.11
전력반도체,-3.29,삼성전자,3.3,아이언디바이스,-7.91
원자력발전,-3.3,금화피에스시,1.99,대한전선,-10.71
스마트그리드(지능형전력망),-3.3,스맥,5.87,LS ELECTRIC,-9.55
리튬,-3.35,엔켐,4.05,미래산업,-13.64
의료AI,-3.37,젠큐릭스,3.47,아크릴,-10.3
日 수출 규제(국산화 등),-3.39,송원산업,0.69,PI첨단소재,-9.29
희귀금속(희토류 등),-3.41,엔젯,6.0,쎄노텍,-11.78
무선충전기술,-3.41,알에프텍,11.51,LG이노텍,-18.17
LNG(액화천연가스),-3.41,SK,1.67,엔케이,-9.03
2차전지(생산),-3.44,SK이노베이션,0.09,삼성SDI,-7.67
온디바이스 AI,-3.56,네패스,7.8,대덕전자,-11.42
아이폰,-3.57,LG디스플레이,5.63,LG이노텍,-18.17
광통신(광케이블/광섬유 등),-3.57,성호전자,20.41,티엠씨,-9.55
코로나19(음압병실/음압구급차),-3.58,에스와이,3.46,오텍,-8.57
mRNA(메신저 리보핵산),-3.6,나이벡,2.74,올릭스,-9.72
2차전지(LFP/리튬인산철),-3.62,SK이노베이션,0.09,EG,-6.97
전력저장장치(ESS),-3.69,엔켐,4.05,LS ELECTRIC,-9.55
조선기자재,-3.69,성광벤드,1.17,범한퓨얼셀,-9.65
방위산업/전쟁 및 테러,-3.7,이지트로닉스,7.5,카티스,-10.48
미용기기,-3.71,하이로닉,8.59,한국비티비,-24.97
MLCC(적층세라믹콘덴서),-3.75,한울반도체,17.61,대주전자재료,-10.83
스마트카(SMART CAR),-3.85,엠씨넥스,2.14,LG이노텍,-18.17
PCB(FPCB 등),-3.86,이브이첨단소재,7.36,대덕전자,-11.42
셰일가스(Shale Gas),-3.97,E1,1.41,우림피티에스,-10.33
전력설비,-3.99,가온전선,4.89,대한전선,-10.71
우주태양광(페로브스카이트 등),-4.03,메카로,1.64,대주전자재료,-10.83
풍력에너지,-4.17,서암기계공업,1.01,우림피티에스,-10.33
항공기부품,-4.19,솔디펜스,4.12,케이피항공산업,-10.16
유리 기판,-4.28,아이비젼웍스,3.4,SKC,-10.42
조선,-4.37,삼성중공업,0.54,동일스틸럭스,-12.2
원자력발전소 해체,-4.37,에스앤더블류,-1.7,위드텍,-8.04
우주항공산업(누리호/인공위성 등),-4.7,에이치브이엠,1.31,케이피항공산업,-10.16
유심(USIM),-4.84,유비벨록스,1.74,엑스큐어,-16.61
전선,-4.96,가온전선,4.89,대한전선,-10.71
2026 상반기 신규상장,-5.07,키움히어로제2호스팩,0.1,마키나락스,-17.56
스페이스X(SpaceX),-5.7,에이치브이엠,1.31,센서뷰,-10.16
